"","Animal_ID","Species_ab","Protein","U_mL","ave_neg_U_mL","Positive"
"405",404,"Mouse","NP",NA,45.8941407216667,FALSE
"406",406,"Mouse","NP",NA,45.8941407216667,FALSE
"407",407,"Mouse","NP",NA,45.8941407216667,FALSE
"408",415,"Mouse","NP",NA,45.8941407216667,FALSE
"409",422,"Mouse","NP",NA,45.8941407216667,FALSE
"410",424,"Mouse","NP",NA,45.8941407216667,FALSE
"411",426,"Mouse","NP",NA,45.8941407216667,FALSE
"412",427,"Mouse","NP",9.546143354,45.8941407216667,FALSE
"413",429,"Mouse","NP",NA,45.8941407216667,FALSE
"414",430,"Mouse","NP",1220.437979,45.8941407216667,TRUE
"415",431,"Mouse","NP",NA,45.8941407216667,FALSE
"416",432,"Mouse","NP",NA,45.8941407216667,FALSE
"417",433,"Mouse","NP",NA,45.8941407216667,FALSE
"418",434,"Mouse","NP",NA,45.8941407216667,FALSE
"419",435,"Mouse","NP",1178.830185,45.8941407216667,TRUE
"420",436,"Mouse","NP",5.554242254,45.8941407216667,FALSE
"421",438,"Mouse","NP",NA,45.8941407216667,FALSE
"422",439,"Mouse","NP",1221.097251,45.8941407216667,TRUE
"423",440,"Mouse","NP",482.8783817,45.8941407216667,TRUE
"424",441,"Mouse","NP",NA,45.8941407216667,FALSE
"425",442,"Mouse","NP",1351.251007,45.8941407216667,TRUE
"426",443,"Mouse","NP",NA,45.8941407216667,FALSE
"427",444,"Mouse","NP",1195.184677,45.8941407216667,TRUE
"428",445,"Mouse","NP",36.54021165,45.8941407216667,FALSE
"429",446,"Mouse","NP",2150.116549,45.8941407216667,TRUE
